% Features of derived words to root letter 1
%
@RELATION rootL1

@ATTRIBUTE length	NUMERIC
@ATTRIBUTE isLetter1InCorrespondingGroup	NUMERIC
@ATTRIBUTE isLetter2InCorrespondingGroup	NUMERIC
@ATTRIBUTE isLetter3InCorrespondingGroup	NUMERIC
@ATTRIBUTE isLetter4InCorrespondingGroup	NUMERIC
@ATTRIBUTE WhatLetter1Haraka	NUMERIC
@ATTRIBUTE WhatLetter2Haraka	NUMERIC
@ATTRIBUTE WhatLetter3Haraka	NUMERIC
@ATTRIBUTE WhatLetter4Haraka	NUMERIC
@ATTRIBUTE isLetter1Vowel	NUMERIC
@ATTRIBUTE isLetter2Vowel	NUMERIC
@ATTRIBUTE isLetter3Vowel	NUMERIC
@ATTRIBUTE isLetter4Vowel	NUMERIC
@ATTRIBUTE isLetter1Hamza	NUMERIC
@ATTRIBUTE isLetter2Hamza	NUMERIC
@ATTRIBUTE isLetter3Hamza	NUMERIC
@ATTRIBUTE isLetter4Hamza	NUMERIC
@ATTRIBUTE position	{pos0,pos1,pos2,pos3,pos4}

@DATA
5,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,pos1
6,1,0,1,0,0,0,2,0,1,0,0,0,0,1,0,0,pos2
5,1,0,0,1,1,0,2,4,0,0,0,1,0,1,0,0,pos2
5,1,0,0,0,1,0,4,3,0,0,0,0,0,1,0,0,pos2
3,0,0,0,-1,1,1,0,0,0,0,0,-1,1,0,0,-1,pos1
3,0,0,0,-1,1,4,0,0,0,0,0,-1,1,0,0,-1,pos1
4,0,0,1,0,3,0,0,0,0,0,1,0,1,0,0,0,pos1
5,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,pos1
6,1,0,1,0,0,0,2,0,1,0,0,0,0,1,0,0,pos2
5,1,0,0,1,1,0,2,4,0,0,0,1,0,1,0,0,pos2
3,0,0,0,-1,1,1,0,0,0,0,0,-1,1,0,0,-1,pos1
3,0,0,0,-1,1,4,0,0,0,0,0,-1,1,0,0,-1,pos1
6,1,0,1,0,3,0,0,1,0,0,1,0,0,1,0,0,pos2
3,0,0,0,-1,1,1,0,0,0,0,0,-1,1,0,0,-1,pos1
4,0,0,1,1,1,2,0,0,0,0,1,0,1,0,0,0,pos1
3,0,0,0,-1,1,4,0,0,0,0,0,-1,1,0,0,-1,pos1
4,0,0,1,1,3,0,0,0,0,0,1,0,1,0,0,0,pos1
4,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,pos1
6,1,0,1,0,3,0,0,1,0,0,1,0,0,1,0,0,pos2
3,0,0,1,-1,1,4,0,0,0,0,1,-1,1,0,0,-1,pos1
5,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,pos1
6,1,0,1,0,0,0,2,0,1,0,0,0,0,1,0,0,pos2
5,1,0,0,1,1,0,2,1,0,0,0,1,0,1,0,0,pos2
5,1,0,0,0,1,0,4,2,0,0,0,0,0,1,0,0,pos2
3,0,0,0,-1,1,4,0,0,0,0,0,-1,1,0,1,-1,pos1
3,0,0,1,-1,1,4,0,0,0,0,1,-1,1,0,0,-1,pos1
3,0,0,0,-1,1,1,0,0,0,0,0,-1,1,0,0,-1,pos1
3,0,0,0,-1,1,4,0,0,0,0,0,-1,1,0,0,-1,pos1
5,1,0,0,0,1,0,4,3,0,0,0,0,0,1,0,0,pos2
3,0,0,0,-1,1,1,0,0,0,0,0,-1,1,0,0,-1,pos1
4,0,0,1,0,3,0,0,0,0,0,1,0,1,0,0,0,pos1
5,1,0,0,1,1,0,2,4,0,0,0,1,0,1,0,0,pos2
4,0,0,1,0,3,0,0,0,0,0,1,0,1,0,0,0,pos1
5,1,0,0,0,1,0,4,3,0,0,0,0,0,1,0,0,pos2
3,0,0,0,-1,1,4,0,0,0,0,0,-1,1,0,0,-1,pos1
3,0,0,0,-1,1,1,0,0,0,0,0,-1,1,0,0,-1,pos1
3,0,0,0,-1,1,4,0,0,0,0,0,-1,1,0,0,-1,pos1
6,1,0,1,0,0,0,2,0,1,0,0,0,0,1,0,0,pos2
5,1,0,0,1,1,0,2,4,0,0,0,1,0,1,0,0,pos2
5,1,0,0,0,1,0,4,3,0,0,0,0,0,1,0,0,pos2
5,1,0,0,0,3,0,1,1,0,0,0,0,0,1,0,0,pos2
4,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,pos1
3,0,0,0,-1,1,1,0,0,0,0,0,-1,1,0,0,-1,pos1
4,0,0,1,0,1,2,0,0,0,0,1,0,1,0,0,0,pos1
3,0,0,0,-1,1,4,0,0,0,0,0,-1,1,0,0,-1,pos1
6,1,0,1,0,0,0,2,0,1,0,0,0,0,1,0,0,pos2
5,1,0,0,0,1,0,4,3,0,0,0,0,0,1,0,0,pos2
3,0,0,0,-1,1,1,0,0,0,0,0,-1,1,0,0,-1,pos1
3,0,0,0,-1,1,4,0,0,0,0,0,-1,1,0,0,-1,pos1
4,0,0,1,0,3,0,0,0,0,0,1,0,1,0,0,0,pos1
5,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,pos1
4,1,0,0,0,1,0,3,0,0,0,0,0,0,1,0,0,pos2
5,1,0,0,0,1,0,4,3,0,0,0,0,0,1,0,0,pos2
3,0,0,0,-1,1,1,0,0,0,0,0,-1,1,0,0,-1,pos1
3,0,0,0,-1,1,4,0,0,0,0,0,-1,1,0,0,-1,pos1
7,1,1,1,0,0,4,2,0,1,0,0,0,0,0,0,1,pos4
5,1,0,0,0,1,0,4,3,0,0,0,0,0,1,0,0,pos2
3,0,0,0,-1,1,4,0,0,0,0,0,-1,1,0,0,-1,pos1
5,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,pos1
5,1,0,0,0,1,0,4,3,0,0,0,0,0,1,0,0,pos2
3,0,0,0,-1,1,1,0,0,0,0,0,-1,1,0,0,-1,pos1
3,0,0,0,-1,1,4,0,0,0,0,0,-1,1,0,0,-1,pos1
4,0,0,1,0,3,0,0,0,0,0,1,0,1,0,0,0,pos1
5,1,0,0,0,1,0,4,3,0,0,0,0,0,1,0,0,pos2
3,0,0,0,-1,1,0,0,0,0,0,1,-1,1,0,0,-1,pos1
3,0,0,1,-1,1,4,0,0,0,0,1,-1,1,0,0,-1,pos1
4,0,0,1,1,3,2,4,0,0,0,1,1,1,0,0,0,pos1
5,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,pos1
4,1,0,0,1,1,0,2,0,0,0,0,1,0,1,0,0,pos2
5,1,0,0,1,1,0,2,1,0,0,0,1,0,1,0,0,pos2
5,1,0,0,0,1,0,4,2,0,0,0,0,0,1,0,0,pos2
6,1,0,1,0,3,0,0,0,0,0,1,0,0,1,0,0,pos2
4,0,1,1,1,1,4,1,0,0,0,1,0,1,0,0,0,pos1
3,0,1,1,-1,1,4,0,0,0,0,1,-1,1,0,0,-1,pos1
2,0,1,-1,-1,1,0,0,0,0,0,-1,-1,1,0,-1,-1,pos1
4,0,1,1,1,3,4,1,0,0,0,1,0,1,0,0,0,pos1
4,0,1,1,1,0,4,1,0,0,0,1,0,1,0,0,0,pos1
5,1,0,0,1,1,4,0,0,0,1,0,1,0,0,0,0,pos0
5,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,pos1
5,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,pos1
4,0,1,1,0,1,2,0,0,0,0,1,0,1,0,0,0,pos1
3,0,1,0,-1,1,1,0,0,0,0,0,-1,1,0,0,-1,pos1
3,0,1,0,-1,1,4,0,0,0,0,0,-1,1,0,0,-1,pos1
5,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,pos1
7,1,1,1,0,0,4,2,0,1,0,0,0,0,0,0,1,pos4
5,1,0,0,1,1,0,2,4,0,0,0,1,0,1,0,0,pos2
6,1,0,1,0,3,0,0,1,0,0,1,0,0,1,0,0,pos2
3,0,1,0,-1,1,1,0,0,0,0,0,-1,1,0,0,-1,pos1
3,0,1,0,-1,1,4,0,0,0,0,0,-1,1,0,0,-1,pos1
3,0,1,0,-1,3,3,0,0,0,0,0,-1,1,0,0,-1,pos1
3,0,1,0,-1,3,4,0,0,0,0,0,-1,1,0,0,-1,pos1
5,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,pos1
4,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,pos1
7,1,1,1,0,0,4,2,0,1,0,0,0,0,0,0,1,pos4
5,1,0,0,0,1,0,4,3,0,0,0,0,0,1,0,0,pos2
3,0,1,0,-1,1,4,0,0,0,0,0,-1,1,0,0,-1,pos1
3,0,1,0,-1,3,4,0,0,0,0,0,-1,1,0,0,-1,pos1
3,0,1,0,-1,0,4,0,0,0,0,0,-1,1,0,0,-1,pos1
5,1,0,0,1,1,0,2,4,0,0,0,1,0,1,0,0,pos2
5,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,pos1
3,0,1,0,-1,1,1,0,0,0,0,0,-1,1,0,0,-1,pos1
5,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,pos1
5,1,0,0,0,1,0,4,3,0,0,0,0,0,1,0,0,pos2
3,0,1,0,-1,1,4,0,0,0,0,0,-1,1,0,0,-1,pos1
5,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,pos1
5,1,0,0,1,1,0,2,4,0,0,0,1,0,1,0,0,pos2
5,1,0,0,0,1,0,4,3,0,0,0,0,0,1,0,0,pos2
3,0,1,0,-1,1,1,0,0,0,0,0,-1,1,0,0,-1,pos1
3,0,1,0,-1,1,4,0,0,0,0,0,-1,1,0,0,-1,pos1
4,0,1,1,1,3,0,0,0,0,0,1,0,1,0,0,0,pos1
5,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,pos1
5,1,0,0,0,1,0,4,3,0,0,0,0,0,1,0,0,pos2
3,0,1,0,-1,0,0,0,0,0,0,1,-1,1,0,0,-1,pos1
3,0,1,1,-1,1,4,0,0,0,0,1,-1,1,0,0,-1,pos1
2,0,1,-1,-1,1,0,0,0,0,0,-1,-1,1,0,-1,-1,pos1
5,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,pos1
6,1,0,1,0,0,0,2,0,1,0,0,0,0,1,0,0,pos2
4,1,0,0,1,1,0,2,0,0,0,0,1,0,1,0,0,pos2
5,1,0,0,1,1,0,2,1,0,0,0,1,0,1,0,0,pos2
5,1,0,0,0,1,0,4,2,0,0,0,0,0,1,0,0,pos2
6,1,0,1,0,3,0,0,0,0,0,1,0,0,1,0,0,pos2
3,0,0,0,-1,0,4,0,0,0,0,0,-1,1,0,0,-1,pos1
3,0,0,0,-1,1,1,0,0,0,0,0,-1,1,0,0,-1,pos1
6,1,0,1,0,0,0,2,0,1,0,0,0,0,1,0,0,pos2
5,1,0,0,1,1,0,2,4,0,0,0,1,0,1,0,0,pos2
5,1,0,0,0,1,0,4,3,0,0,0,0,0,1,0,0,pos2
3,0,0,0,-1,1,1,0,0,0,0,0,-1,1,0,0,-1,pos1
3,0,0,0,-1,1,4,0,0,0,0,0,-1,1,0,0,-1,pos1
6,1,0,1,0,0,0,2,0,1,0,0,0,0,1,0,0,pos2
7,1,1,1,0,0,4,2,0,1,0,0,0,0,0,0,1,pos4
5,1,0,0,1,1,0,2,4,0,0,0,1,0,1,0,0,pos2
5,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,pos1
4,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,pos1
3,0,0,0,-1,1,4,0,0,0,0,0,-1,1,0,0,-1,pos1
3,0,0,0,-1,1,1,0,0,0,0,0,-1,1,0,0,-1,pos1
3,0,0,0,-1,1,4,0,0,0,0,0,-1,1,0,0,-1,pos1
5,1,0,0,0,1,0,4,3,0,0,0,0,0,1,0,0,pos2
3,0,0,0,-1,1,0,0,0,0,0,1,-1,1,0,0,-1,pos1
3,0,0,1,-1,1,4,0,0,0,0,1,-1,1,0,0,-1,pos1
5,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,pos1
6,1,0,1,0,0,0,2,0,1,0,0,0,0,1,0,0,pos2
3,0,0,1,-1,1,4,0,0,0,0,1,-1,1,0,0,-1,pos1
3,0,0,1,-1,1,4,0,0,0,0,0,-1,1,0,0,-1,pos1
3,0,0,0,-1,1,4,0,0,0,0,0,-1,1,0,0,-1,pos1
5,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,pos1
4,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,pos1
5,1,0,0,1,1,0,2,4,0,0,0,1,0,1,0,0,pos2
3,0,0,0,-1,1,4,0,0,0,0,0,-1,1,0,0,-1,pos1
5,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,pos1
6,1,0,1,0,0,0,2,0,1,0,0,0,0,1,0,0,pos2
4,1,0,0,0,1,0,3,0,0,0,0,0,0,1,0,0,pos2
6,1,0,1,0,3,0,0,1,0,0,1,0,0,1,0,0,pos2
4,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,pos1
3,0,0,0,-1,1,1,0,0,0,0,0,-1,1,0,0,-1,pos1
3,0,0,0,-1,1,4,0,0,0,0,0,-1,1,0,0,-1,pos1
6,1,0,1,0,0,0,2,0,1,0,0,0,0,1,0,0,pos2
5,1,0,0,1,1,0,2,4,0,0,0,1,0,1,0,0,pos2
5,1,0,0,0,1,0,4,3,0,0,0,0,0,1,0,0,pos2
5,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,pos1
3,0,0,0,-1,1,1,0,0,0,0,0,-1,1,0,0,-1,pos1
3,0,0,0,-1,1,4,0,0,0,0,0,-1,1,0,0,-1,pos1
5,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,pos1
7,1,1,1,0,0,4,2,0,1,0,0,0,0,0,0,1,pos4
5,1,0,0,1,1,0,2,4,0,0,0,1,0,1,0,0,pos2
5,1,0,0,0,1,0,4,3,0,0,0,0,0,1,0,0,pos2
4,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,pos1
3,0,0,1,-1,1,4,0,0,0,0,1,-1,1,0,0,-1,pos1
5,1,0,0,1,1,0,2,1,0,0,0,1,0,1,0,0,pos2
3,0,0,0,-1,1,4,0,0,0,0,0,-1,1,0,0,-1,pos1
4,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,pos1
6,1,0,1,0,0,0,2,0,1,0,0,0,0,1,0,0,pos2
6,1,0,1,0,3,0,0,1,0,0,1,0,0,1,0,0,pos2
3,0,0,0,-1,1,1,0,0,0,0,0,-1,1,0,0,-1,pos1
3,0,0,0,-1,1,4,0,0,0,0,0,-1,1,0,0,-1,pos1
3,0,0,0,-1,1,4,0,0,0,0,0,-1,1,0,0,-1,pos1
6,1,1,0,0,0,4,0,0,1,0,0,0,0,0,1,0,pos3
5,1,0,0,1,1,0,2,4,0,0,0,1,0,1,0,0,pos2
5,1,0,0,0,1,0,4,3,0,0,0,0,0,1,0,0,pos2
4,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,pos1
3,0,0,0,-1,1,4,0,0,0,0,0,-1,1,0,0,-1,pos1
3,0,0,0,-1,1,1,0,0,0,0,0,-1,1,0,0,-1,pos1
3,0,0,0,-1,1,4,0,0,0,0,0,-1,1,0,0,-1,pos1
4,0,0,1,0,3,0,0,0,0,0,1,0,1,0,0,0,pos1
5,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,pos1
4,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,pos1
5,1,0,0,1,1,0,2,4,0,0,0,1,0,1,0,0,pos2
5,1,0,0,0,1,0,4,3,0,0,0,0,0,1,0,0,pos2
3,0,0,1,-1,1,4,0,0,0,0,0,-1,1,0,0,-1,pos1
3,0,0,0,-1,1,4,0,0,0,0,0,-1,1,0,0,-1,pos1
3,0,0,0,-1,1,1,0,0,0,0,0,-1,1,0,0,-1,pos1
4,0,0,0,1,1,4,1,0,0,0,0,0,1,0,0,0,pos1
7,1,1,1,0,0,4,2,0,1,0,0,0,0,0,0,1,pos4
3,0,0,0,-1,1,1,0,0,0,0,0,-1,1,0,0,-1,pos1
3,0,0,0,-1,1,4,0,0,0,0,0,-1,1,0,0,-1,pos1
4,0,0,1,0,3,0,0,0,0,0,1,0,1,0,0,0,pos1
7,1,1,1,0,0,4,2,0,1,0,0,0,0,0,0,1,pos4
3,0,0,0,-1,1,4,0,0,0,0,0,-1,1,0,0,-1,pos1
3,0,0,0,-1,1,4,0,0,0,0,0,-1,1,0,0,-1,pos1
6,1,0,1,0,0,0,2,0,1,0,0,0,0,1,0,0,pos2
3,0,0,0,-1,1,1,0,0,0,0,0,-1,1,0,0,-1,pos1
3,0,0,0,-1,1,4,0,0,0,0,0,-1,1,0,0,-1,pos1
5,1,0,0,1,1,0,2,4,0,0,0,1,0,1,0,0,pos2
5,1,0,0,0,1,0,4,3,0,0,0,0,0,1,0,0,pos2
3,0,0,0,-1,1,1,0,0,0,0,0,-1,1,0,0,-1,pos1
3,0,0,0,-1,1,4,0,0,0,0,0,-1,1,0,0,-1,pos1
5,1,0,0,0,1,0,4,3,0,0,0,0,0,1,0,0,pos2
3,0,0,0,-1,1,4,0,0,0,0,0,-1,1,0,0,-1,pos1
4,0,0,1,0,3,0,0,0,0,0,1,0,1,0,0,0,pos1
5,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,pos1
3,0,0,0,-1,0,4,0,0,0,0,0,-1,1,0,0,-1,pos1
6,1,0,1,0,0,0,2,0,1,0,0,0,0,1,0,0,pos2
5,1,0,0,1,1,0,2,4,0,0,0,1,0,1,0,0,pos2
5,1,0,0,0,1,0,4,3,0,0,0,0,0,1,0,0,pos2
3,0,0,0,-1,1,1,0,0,0,0,0,-1,1,0,0,-1,pos1
3,0,0,0,-1,1,4,0,0,0,0,0,-1,1,0,0,-1,pos1
4,0,0,1,0,3,0,0,0,0,0,1,0,1,0,0,0,pos1
5,1,0,0,1,1,0,2,4,0,0,0,1,0,1,0,0,pos2
5,1,0,0,0,1,0,4,3,0,0,0,0,0,1,0,0,pos2
3,0,0,0,-1,1,1,0,0,0,0,0,-1,1,0,0,-1,pos1
3,0,0,0,-1,1,4,0,0,0,0,0,-1,1,0,0,-1,pos1
5,1,0,0,0,1,0,4,3,0,0,0,0,0,1,0,0,pos2
3,0,0,0,-1,1,4,0,0,0,0,0,-1,1,0,0,-1,pos1
5,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,pos1
6,1,0,1,0,0,0,2,0,1,0,0,0,0,1,0,0,pos2
3,0,0,1,-1,1,4,0,0,0,0,1,-1,1,0,0,-1,pos1
3,0,0,0,-1,1,4,0,0,0,0,0,-1,1,0,1,-1,pos1
5,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,pos1
4,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,pos1
3,0,0,0,-1,1,4,0,0,0,0,0,-1,1,0,0,-1,pos1
5,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,pos1
5,1,0,0,1,1,0,2,4,0,0,0,1,0,1,0,0,pos2
5,1,0,0,0,1,0,4,3,0,0,0,0,0,1,0,0,pos2
3,0,0,0,-1,1,4,0,0,0,0,0,-1,1,0,0,-1,pos1
5,1,0,0,0,1,0,4,3,0,0,0,0,0,1,0,0,pos2
6,1,0,1,0,3,0,0,1,0,0,1,0,0,1,0,0,pos2
3,0,0,0,-1,1,4,0,0,0,0,0,-1,1,0,0,-1,pos1
5,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,pos1
5,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,pos1
5,1,0,0,1,1,0,2,4,0,0,0,1,0,1,0,0,pos2
4,0,0,0,1,1,4,1,0,0,0,0,0,1,0,0,0,pos1
3,0,0,0,-1,1,4,0,0,0,0,0,-1,1,0,0,-1,pos1
6,1,0,1,0,0,0,2,0,1,0,0,0,0,1,0,0,pos2
3,0,0,0,-1,1,1,0,0,0,0,0,-1,1,0,0,-1,pos1
3,0,0,0,-1,1,4,0,0,0,0,0,-1,1,0,0,-1,pos1
4,0,0,1,0,3,0,0,0,0,0,1,0,1,0,0,0,pos1
5,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,pos1
4,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,pos1
6,1,0,1,0,0,0,2,0,1,0,0,0,0,1,0,0,pos2
7,1,1,1,0,0,4,2,0,1,0,0,0,0,0,0,1,pos4
4,1,0,0,0,1,0,3,0,0,0,0,0,0,1,0,0,pos2
5,1,0,0,1,1,0,2,4,0,0,0,1,0,1,0,0,pos2
5,1,0,0,0,1,0,4,3,0,0,0,0,0,1,0,0,pos2
6,1,0,1,0,3,0,0,1,0,0,1,0,0,1,0,0,pos2
3,0,0,0,-1,1,1,0,0,0,0,0,-1,1,0,0,-1,pos1
7,1,1,1,0,0,4,2,0,1,0,0,0,0,0,0,1,pos4
3,0,0,1,-1,1,4,0,0,0,0,1,-1,1,0,0,-1,pos1
3,0,0,1,-1,1,4,0,0,0,0,1,-1,1,0,0,-1,pos1
4,0,0,1,1,3,3,4,1,0,0,1,1,1,0,0,0,pos1
4,0,0,1,1,3,2,4,0,0,0,1,1,1,0,0,0,pos1
5,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,pos1
4,0,0,1,1,0,2,4,0,0,0,1,1,1,0,0,0,pos1
6,1,0,1,0,0,0,2,0,1,0,0,0,0,1,0,0,pos2
5,1,0,0,1,1,0,2,1,0,0,0,1,0,1,0,0,pos2
5,1,0,0,0,1,0,4,2,0,0,0,0,0,1,0,0,pos2
3,0,0,0,-1,1,1,0,0,0,0,0,-1,1,0,0,-1,pos1
3,0,0,0,-1,1,4,0,0,0,0,0,-1,1,0,0,-1,pos1
5,1,0,0,1,1,0,2,4,0,0,0,1,0,1,0,0,pos2
5,1,0,0,0,1,0,4,3,0,0,0,0,0,1,0,0,pos2
3,0,0,1,-1,1,4,0,0,0,0,0,-1,1,0,0,-1,pos1
5,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,pos1
3,0,0,0,-1,1,4,0,0,0,0,0,-1,1,0,0,-1,pos1
6,1,0,1,0,0,0,2,0,1,0,0,0,0,1,0,0,pos2
3,0,0,0,-1,1,4,0,0,0,0,0,-1,1,0,0,-1,pos1
5,1,0,0,0,1,0,4,3,0,0,0,0,0,1,0,0,pos2
3,0,0,0,-1,1,1,0,0,0,0,0,-1,1,0,0,-1,pos1
3,0,0,0,-1,1,4,0,0,0,0,0,-1,1,0,0,-1,pos1
3,0,0,0,-1,1,4,0,0,0,0,0,-1,1,0,0,-1,pos1
5,1,0,0,0,1,0,4,3,0,0,0,0,0,1,0,0,pos2
6,1,0,1,0,3,0,0,1,0,0,1,0,0,1,0,0,pos2
3,0,0,0,-1,1,1,0,0,0,0,0,-1,1,0,0,-1,pos1
5,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,pos1
5,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,pos1
3,0,0,0,-1,1,4,0,0,0,0,0,-1,1,0,0,-1,pos1
5,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,pos1
4,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,pos1
3,0,0,0,-1,0,4,0,0,0,0,0,-1,1,0,0,-1,pos1
6,1,0,1,0,0,0,2,0,1,0,0,0,0,1,0,0,pos2
7,1,1,1,0,0,4,2,0,1,0,0,0,0,0,0,1,pos4
5,1,0,0,1,1,0,2,4,0,0,0,1,0,1,0,0,pos2
5,1,0,0,0,1,0,4,3,0,0,0,0,0,1,0,0,pos2
6,1,0,1,0,3,0,0,1,0,0,1,0,0,1,0,0,pos2
4,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,pos1
3,0,0,0,-1,1,1,0,0,0,0,0,-1,1,0,0,-1,pos1
3,0,0,0,-1,1,4,0,0,0,0,0,-1,1,0,0,-1,pos1
4,0,0,1,0,3,0,0,0,0,0,1,0,1,0,0,0,pos1
4,0,0,0,1,3,4,1,0,0,0,0,0,1,0,0,0,pos1
4,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,pos1
6,1,0,1,0,0,0,2,0,1,0,0,0,0,1,0,0,pos2
5,1,0,0,0,1,0,4,3,0,0,0,0,0,1,0,0,pos2
3,0,0,0,-1,1,1,0,0,0,0,0,-1,1,0,0,-1,pos1
3,0,0,0,-1,1,4,0,0,0,0,0,-1,1,0,0,-1,pos1
4,0,0,1,0,3,0,0,0,0,0,1,0,1,0,0,0,pos1
7,1,1,1,0,0,4,2,0,1,0,0,0,0,0,0,1,pos4
4,0,0,1,1,1,0,4,0,0,0,1,1,1,0,0,0,pos1
5,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,pos1
3,0,0,0,-1,1,1,0,0,0,0,0,-1,1,0,0,-1,pos1
4,0,0,1,0,1,2,0,0,0,0,1,0,1,0,0,0,pos1
6,1,0,1,0,0,0,2,0,1,0,0,0,0,1,0,0,pos2
5,1,0,0,1,1,0,2,4,0,0,0,1,0,1,0,0,pos2
3,0,0,0,-1,1,1,0,0,0,0,0,-1,1,0,0,-1,pos1
5,0,0,1,0,1,3,0,1,0,0,1,0,1,0,0,0,pos1
5,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,pos1
5,1,0,0,0,1,0,4,3,0,0,0,0,0,1,0,0,pos2
5,0,0,1,0,3,0,0,1,0,0,1,0,1,0,0,0,pos1
5,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,pos1
5,1,0,0,1,1,0,2,4,0,0,0,1,0,1,0,0,pos2
5,1,0,0,0,1,0,4,3,0,0,0,0,0,1,0,0,pos2
3,0,0,0,-1,1,0,0,0,0,0,1,-1,1,0,0,-1,pos1
3,0,0,1,-1,1,4,0,0,0,0,1,-1,1,0,0,-1,pos1
2,0,0,-1,-1,1,0,0,0,0,0,-1,-1,1,0,-1,-1,pos1
5,0,0,1,1,3,0,4,1,0,0,1,1,1,0,0,0,pos1
5,0,0,1,1,3,3,4,1,0,0,1,1,1,0,0,0,pos1
4,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,pos1
6,1,0,1,0,0,0,2,0,1,0,0,0,0,1,0,0,pos2
7,1,1,1,0,0,4,2,0,1,0,0,0,0,0,0,1,pos4
5,1,0,0,1,1,0,2,1,0,0,0,1,0,1,0,0,pos2
5,1,0,0,0,1,0,4,2,0,0,0,0,0,1,0,0,pos2
3,0,0,1,-1,1,4,0,0,0,0,0,-1,1,0,0,-1,pos1
5,1,0,0,1,1,0,2,4,0,0,0,1,0,1,0,0,pos2
3,0,0,0,-1,1,1,0,0,0,0,0,-1,1,0,0,-1,pos1
3,0,0,0,-1,1,4,0,0,0,0,0,-1,1,0,0,-1,pos1
5,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,pos1
3,0,0,0,-1,1,1,0,0,0,0,0,-1,1,0,0,-1,pos1
5,1,0,0,1,1,0,2,4,0,0,0,1,0,1,0,0,pos2
5,1,0,0,0,1,0,4,3,0,0,0,0,0,1,0,0,pos2
5,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,pos1
4,0,0,0,1,1,4,1,0,0,0,0,0,1,0,0,0,pos1
3,0,0,0,-1,1,4,0,0,0,0,0,-1,1,0,0,-1,pos1
5,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,pos1
5,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,pos1
4,0,0,0,1,0,4,1,0,0,0,0,0,1,0,0,0,pos1
6,1,0,1,0,0,0,2,0,1,0,0,0,0,1,0,0,pos2
7,1,1,1,0,0,4,2,0,1,0,0,0,0,0,0,1,pos4
4,1,0,0,0,1,0,3,0,0,0,0,0,0,1,0,0,pos2
